,fname_x,lname,school,debut,wt,ht(inches),b_city,b_state,g,pts,trb,ast,fgp,fg3p,ftp,efgp,per,ws,fname_y,lat,long
0,Paul,Silas,Creighton,1964,220lb,79,Prescott,Arkansas,1254,9.4,9.9,2.1,43.2,-,67.3,43.2,13.9,79.9,5,,
1,Kevin,McKenna,Creighton,1981,195lb,77,St. Paul,Minnesota,243,5.4,1.3,1.4,41.4,36.7,81.9,45.6,10.5,4,5,,
2,Benoit,Benjamin,Creighton,1985,250lb,,Monroe,Louisiana,807,11.4,7.5,1.3,49.7,4.8,72.1,49.7,14.8,32.7,5,,
3,Chad,Gallagher,Creighton,1994,255lb,82,Rockford,Illinois,2,3,0,0,100,-,-,100,66.8,0.1,5,,
4,Rodney,Buford,Creighton,1999,189lb,77,Milwaukee,Wisconsin,230,6.4,2.6,0.8,41.2,30,75.8,43.6,10,2.9,5,,
5,David,Andersen,Augsburg College,1967,230lb,82,Mneapolis,Minnesota,140,12.2,9.4,1.1,48.1,-,72.7,48.1,17.5,10.9,3,,
6,Daniel,Anderson,Augsburg College,1967,230lb,82,Mneapolis,Minnesota,140,12.2,9.4,1.1,48.1,-,72.7,48.1,17.5,10.9,3,,
7,Devean,George,Augsburg College,1999,220lb,80,Mneapolis,Minnesota,630,5.6,3.1,0.9,39.2,34.3,72.1,45.6,10.6,18.2,3,,
8,Jim,Caldwell,Georgia Tech,1967,240lb,82,Durham,North Carolina,137,7.1,7.7,2,42.5,13.3,63.1,42.6,13.2,5.7,30,33.7756,84.3963
9,Brook,Steppe,Georgia Tech,1982,195lb,77,Chapel Hill,North Carolina,238,5.4,1.4,1.2,46.9,31,82,47.4,12.5,4.6,30,33.7756,84.3963
10,Yvon,Joseph,Georgia Tech,1985,245lb,83,Cap-Haitian,Haiti,1,2,0,0,-,-,100,-,12.8,0,30,33.7756,84.3963
11,John,Salley,Georgia Tech,1986,230lb,83,Brooklyn,New York,748,7,4.5,1.2,50.6,21.4,71.4,50.6,12.8,41.5,30,33.7756,84.3963
12,Mark,Price,Georgia Tech,1986,170lb,,Bartlesville,Oklahoma,722,15.2,2.6,6.7,47.2,40.2,90.4,53,19.6,71.1,30,33.7756,84.3963
13,Duane,Ferrell,Georgia Tech,1988,209lb,79,Baltimore,Maryland,583,6.4,1.9,0.9,48,28.8,75,48.7,12.9,15.7,30,33.7756,84.3963
14,Craig,Neal,Georgia Tech,1988,165lb,77,Muncie,Indiana,63,2.5,0.7,2.5,37.3,30.2,60,41.5,7,-0.4,30,33.7756,84.3963
15,Tom,Hammonds,Georgia Tech,1989,215lb,81,Fort Walton,Florida,687,5.3,3.3,0.6,48,0,69.1,48,11,14.7,30,33.7756,84.3963
16,Dennis,Scott,Georgia Tech,1990,229lb,80,Hagerstown,Maryland,629,12.9,2.8,2.1,41.7,39.7,79.3,50.2,13.4,33.4,30,33.7756,84.3963
17,Brian,Oliver,Georgia Tech,1990,210lb,76,Chicago,Illinois,118,3.3,1,1,38.8,22.7,70.5,39.4,8.1,-0.5,30,33.7756,84.3963
18,Kenny,Anderson,Georgia Tech,1991,168lb,,Queens,New York,858,12.6,3.1,6.1,42.1,34.6,79,44.9,16.4,62.5,30,33.7756,84.3963
19,Jon,Barry,Georgia Tech,1992,195lb,76,Oakland,California,821,5.7,1.8,2.2,43.4,39.2,84.8,52.4,14.7,37.2,30,33.7756,84.3963
20,Matt,Geiger,Georgia Tech,1992,243lb,,Salem,Massachusetts,552,9.2,5.7,0.7,49.9,23.2,72.8,50.1,15.2,28.4,30,33.7756,84.3963
21,Malcolm,Mackey,Georgia Tech,1994,248lb,81,Chattanooga,Tennessee,22,1.5,1.1,0,37.8,0,50,37.8,12.6,0.1,30,33.7756,84.3963
22,Ivano,Newbill,Georgia Tech,1994,245lb,81,Sedalia,Missouri,134,1.5,2.6,0.4,39.4,100,43.3,39.6,7,1.1,30,33.7756,84.3963
23,Fred,Vinson,Georgia Tech,1994,190lb,76,Murfreesboro,North Carolina,13,1.3,0.1,0.1,25,23.1,66.7,31.3,-2,-0.2,30,33.7756,84.3963
24,Travis,Best,Georgia Tech,1995,182lb,71,Sprgfield,Massachusetts,708,7.6,1.8,3.5,43.1,34.5,83.5,46,13.8,30.9,30,33.7756,84.3963
25,Stephon,Marbury,Georgia Tech,1996,180lb,74,Brooklyn,New York,846,19.3,3,7.6,43.3,32.5,78.4,47,18.7,77.5,30,33.7756,84.3963
26,Drew,Barry,Georgia Tech,1998,191lb,77,Oakland,California,60,2.2,1.1,1.9,41.7,38.1,77.4,53.4,9.8,0.6,30,33.7756,84.3963
27,Matt,Harpring,Georgia Tech,1999,231lb,79,Ccnati,Ohio,665,11.5,5.1,1.4,48.1,33.3,75.3,49.4,15.3,41.9,30,33.7756,84.3963
28,Dion,Glover,Georgia Tech,1999,228lb,77,Marietta,Georgia,294,8.2,3.1,1.5,41.1,31.7,75.6,44.5,12.8,5.8,30,33.7756,84.3963
29,Alvin,Jones,Georgia Tech,2001,265lb,83,Luxembourg,Luxembourg,23,1.1,1.6,0.1,40,-,50,40,6.2,0.1,30,33.7756,84.3963
30,Chris,Bosh,Georgia Tech,2003,235lb,83,Dallas,Texas,893,19.2,8.5,2,49.4,33.5,79.9,50.6,20.6,106,30,33.7756,84.3963
31,Jarrett,Jack,Georgia Tech,2005,200lb,75,Fort Washgton,Maryland,867,10.8,2.9,4.6,44,34.3,85.5,48,14.1,36.8,30,33.7756,84.3963
32,Luke,Schenscher,Georgia Tech,2006,255lb,85,Hope Forest,Australia,31,1.8,1.7,0.3,46.9,-,45,46.9,6.9,0.3,30,33.7756,84.3963
33,Will,Bynum,Georgia Tech,2006,185lb,,Chicago,Illinois,360,8.1,1.6,3.3,44.2,27.2,79.9,45.8,14.6,7,30,33.7756,84.3963
