school,CITY,STATE,ZIP,COUNTY
A T STILL HEALTH SCIENCES,KIRKSVILLE,MO,63501,ADAIR
ABCO TECHNOLOGY,INGLEWOOD,CA,90304,LOS ANGELES
ABILENE CHRISTIAN UNIVERSITY,ABILENE,TX,79699,TAYLOR
ABRAHAM BALDWIN AGRICULTURAL COLLEGE,TIFTON,GA,31793,TIFT
ACADEMY COLLEGE,BLOOMINGTON,MN,55431,HENNEPIN
ACADEMY FOR JEWISH RELIGION-CALIFORNIA,LOS ANGELES,CA,90024,LOS ANGELES
ACADEMY FOR SALON PROFESSIONALS,NORTHRIDGE,CA,91324,LOS ANGELES
ACADEMY OF ART UNIVERSITY,SAN FRANCISCO,CA,94105,SAN FRANCISCO
ACADEMY OF HAIR DESIGN-OKLAHOMA CITY,OKLAHOMA CITY,OK,73120,OKLAHOMA
ACE INSTITUTE OF TECHNOLOGY,NEW YORK,NY,10018,NEW YORK
ADAMS STATE UNIVERSITY,ALAMOSA,CO,81101,ALAMOSA
ADELPHI UNIVERSITY,GARDEN CITY,NY,11530,NASSAU
ADELPHI UNIVERSITY - HAUPPAUGE EDUCATION AND CONFERENCE CENTER,HAUPPAUGE,NY,11788,SUFFOLK
ADELPHI UNIVERSITY - HUDSON VALLEY CENTER,POUGHKEEPSIE,NY,12601,DUTCHESS
ADELPHI UNIVERSITY - MANHATTAN CENTER,NEW YORK,NY,10013,NEW YORK
ADIRONDACK COMMUNITY COLLEGE,QUEENSBURY,NY,12804,WARREN
ADLER UNIVERSITY,CHICAGO,IL,60602,COOK
ADRIAN COLLEGE,ADRIAN,MI,49221,LENAWEE
ADVANCE BEAUTY TECHS ACADEMY,SAN JACINTO,CA,92583,RIVERSIDE
ADVANCED TECHNOLOGY INSTITUTE,VIRGINIA BEACH,VA,23462,VIRGINIA BEACH
ADVANCED TECHNOLOGY INSTITUTE - COMMERCIAL DRIVING CAMPUS,NORFOLK,VA,23502,NORFOLK
ADVANCED TECHNOLOGY INSTITUTE - VIRGINIA BEACH CAMPUS,VIRGINIA BEACH,VA,23455,VIRGINIA BEACH
ADVANCING TECHNOLOGY,TEMPE,AZ,85283,MARICOPA
ADVENTIST HEALTH SCIENCES,ORLANDO,FL,32803,ORANGE
ADVENTIST HEALTH SCIENCES - DENVER CAMPUS,DENVER,CO,80210,DENVER
AESTHETIC SCIENCE INSTITUTE,LATHAM,NY,12110,ALBANY
AGNES SCOTT COLLEGE,DECATUR,GA,30030,DEKALB
AI MIAMI INTERNATIONAL ART AND DESIGN,MIAMI,FL,33132,MIAMI-DADE
AIKEN TECHNICAL COLLEGE,GRANITEVILLE,SC,29829,AIKEN
AIMS COMMUNITY COLLEGE,GREELEY,CO,80634,WELD
AIR FORCE INSTITUTE OF TECHNOLOGY-GRADUATE SCHOOL OF ENGINEERING & MANAGEMENT,WRIGHT-PATTERSON AFB,OH,45433,GREENE
AKRON MAIN CAMPUS,AKRON,OH,44325,SUMMIT
AKRON WAYNE COLLEGE,ORRVILLE,OH,44667,WAYNE
Alabama,BIRMINGHAM,AL,35294,JEFFERSON
ALABAMA A & M UNIVERSITY,NORMAL,AL,35762,MADISON
ALABAMA COLLEGE OF OSTEOPATHIC MEDICINE,DOTHAN,AL,36303,HOUSTON
ALABAMA IN HUNTSVILLE,HUNTSVILLE,AL,35899,MADISON
ALABAMA SOUTHERN COMMUNITY COLLEGE - GILBERTOWN CAMPUS,GILBERTOWN,AL,36908,CHOCTAW
ALABAMA SOUTHERN COMMUNITY COLLEGE - JACKSON CAMPUS,JACKSON,AL,36545,CLARKE
ALABAMA SOUTHERN COMMUNITY COLLEGE - THOMASVILLE CAMPUS,THOMASVILLE,AL,36784,CLARKE
ALABAMA STATE COLLEGE OF BARBER STYLING,GARDENDALE,AL,35071,JEFFERSON
ALABAMA STATE UNIVERSITY,MONTGOMERY,AL,36104,MONTGOMERY
ALABAMA SYSTEM OFFICE,TUSCALOOSA,AL,35401,TUSCALOOSA
ALAMANCE COMMUNITY COLLEGE,GRAHAM,NC,27253,ALAMANCE
ALAMO COMMUNITY COLLEGE DISTRICT CENTRAL OFFICE,SAN ANTONIO,TX,78204,BEXAR
ALASKA ANCHORAGE,ANCHORAGE,AK,99508,ANCHORAGE
ALASKA ANCHORAGE - SUSITNA COLLEGE,PALMER,AK,99645,MATANUSKA-SUSITNA
ALASKA CAREER COLLEGE,ANCHORAGE,AK,99507,ANCHORAGE
ALASKA FAIRBANKS,FAIRBANKS,AK,99775,FAIRBANKS NORTH STAR
ALASKA FAIRBANKS -  INTERIOR,FAIRBANKS,AK,99775,FAIRBANKS NORTH STAR
ALASKA FAIRBANKS - BRISTOL BAY CAMPUS,DILLINGHAM,AK,99576,DILLINGHAM
ALASKA FAIRBANKS - CENTER FOR DISTANCE EDUCATION,FAIRBANKS,AK,99775,FAIRBANKS NORTH STAR
ALASKA FAIRBANKS - CHUKCHI CAMPUS,KOTZEBUE,AK,99752,NORTHWEST ARCTIC
ALASKA FAIRBANKS - COMMUNITY AND TECHNICAL COLLEGE/ TANANA VALLEY,FAIRBANKS,AK,99701,FAIRBANKS NORTH STAR
ALASKA FAIRBANKS - KUSKOKWIM CAMPUS,BETHEL,AK,99559,BETHEL
ALASKA FAIRBANKS - NORTHWEST CAMPUS,NOME,AK,99762,NOME
ALASKA PACIFIC UNIVERSITY,ANCHORAGE,AK,99508,ANCHORAGE
ALASKA SOUTHEAST,JUNEAU,AK,99801,JUNEAU
ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES,ALBANY,NY,12208,ALBANY
ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES - VERMONT CAMPUS,COLCHESTER,VT,5446,CHITTENDEN
ALBANY LAW SCHOOL,ALBANY,NY,12208,ALBANY
ALBANY MEDICAL COLLEGE,ALBANY,NY,12208,ALBANY
ALBANY STATE UNIVERSITY,ALBANY,GA,31705,DOUGHERTY
ALBANY TECHNICAL COLLEGE,ALBANY,GA,31701,DOUGHERTY
ALBERTUS MAGNUS COLLEGE,NEW HAVEN,CT,6511,NEW HAVEN
ALBION COLLEGE,ALBION,MI,49224,CALHOUN
ALBRIGHT COLLEGE,READING,PA,19612,BERKS
ALCORN STATE UNIVERSITY,ALCORN STATE,MS,39096,CLAIBORNE
ALCORN STATE UNIVERSITY - VICKSBURG CAMPUS,VICKSBURG,MS,39180,WARREN
ALDERSON BROADDUS UNIVERSITY,PHILIPPI,WV,26416,BARBOUR
ALEXANDER ACADEMY,LUNENBURG,MA,1462,WORCESTER
ALEXANDRIA TECHNICAL & COMMUNITY COLLEGE,ALEXANDRIA,MN,56308,DOUGLAS
ALFRED UNIVERSITY,ALFRED,NY,14802,ALLEGANY
ALICE LLOYD COLLEGE,PIPPA PASSES,KY,41844,KNOTT
ALLAN HANCOCK COLLEGE,SANTA MARIA,CA,93454,SANTA BARBARA
ALLAN HANCOCK COLLEGE - LOMPOC VALLEY CENTER,LOMPOC,CA,93436,SANTA BARBARA
ALLAN HANCOCK COLLEGE - VANDENBERG AFB CENTER,VANDENBERG AFB,CA,93437,SANTA BARBARA
ALLAN HANCOCK COLLEGE -SANTA YNEZ VALLEY CENTER,SANTA YNEZ,CA,93460,SANTA BARBARA
ALLEGANY COLLEGE OF MARYLAND,CUMBERLAND,MD,21502,ALLEGANY
