b_state,debut,htinches,g,pts,trb,ast,ws,fname_y,lat_x,long_x,fname,lat_y,long_y
Alabama,1988, 78.90 , 334.86 , 7.24 , 3.59 , 1.27 , 18.89 , 17.15 , 35.20 , 88.45 , 17.15 , 35.20 , 88.45 
Alaska,2008, 74.00 , 646.00 , 8.90 , 2.50 , 3.70 , 32.30 , 48.00 , 38.95 , 95.26 , 48.00 , 38.95 , 95.26 
Argentina,2007, 78.75 , 311.58 , 5.37 , 2.60 , 1.35 , 18.78 , 12.50 , 39.98 , 75.16 , 12.50 , 39.98 , 75.16 
Arizona,1995, 76.70 , 266.70 , 6.01 , 2.05 , 1.47 , 10.47 , 21.80 , 34.96 , 100.70 , 21.80 , 34.96 , 100.70 
Arkansas,1989, 78.16 , 420.64 , 6.82 , 3.21 , 1.39 , 23.06 , 15.63 , 37.70 , 94.33 , 15.63 , 37.70 , 94.33 
Australia,2005, 81.00 , 138.75 , 3.53 , 2.67 , 0.68 , 5.95 , 21.50 , 37.39 , 93.44 , 21.50 , 37.39 , 93.44 
Bahamas,1987, 80.33 , 329.67 , 8.23 , 3.53 , 1.13 , 19.83 , 19.67 , 37.07 , 91.63 , 19.67 , 37.07 , 91.63 
Belgium,2006, 76.00 , 719.50 , 10.60 , 2.30 , 3.10 , 56.05 , 48.00 , 38.95 , 95.26 , 48.00 , 38.95 , 95.26 
Bosnia and Herzegovina,2005, 82.22 , 185.22 , 5.77 , 2.43 , 0.84 , 6.36 ,,,,,,
Brazil,2005, 80.60 , 204.91 , 4.44 , 2.54 , 1.15 , 10.41 , 26.00 , 37.67 , 94.38 , 26.00 , 37.67 , 94.38 
Bulgaria,1985, 80.00 , 49.00 , 4.90 , 3.30 , 0.70 , (0.50),,,,,,
California,1994, 78.85 , 321.49 , 5.82 , 2.76 , 1.34 , 15.03 , 24.75 , 36.33 , 111.18 , 24.75 , 36.33 , 111.18 
Cameroon,2001,, 44.00 , 1.00 , 1.30 , 0.10 , 0.20 , 29.00 , 38.91 , 77.07 , 29.00 , 38.91 , 77.07 
Canada,2000, 80.08 , 254.94 , 3.95 , 2.19 , 0.98 , 7.44 , 26.47 , 38.72 , 86.26 , 26.47 , 38.72 , 86.26 
China,2002, 83.00 , 46.00 , 3.40 , 2.50 , 0.60 , (0.10),,,,,,
Colorado,1991, 79.70 , 351.92 , 5.47 , 2.32 , 1.39 , 15.17 , 17.08 , 35.21 , 105.03 , 17.08 , 35.21 , 105.03 
Connecticut,1988, 78.78 , 331.11 , 7.42 , 2.99 , 1.64 , 17.73 , 16.07 , 39.29 , 79.40 , 16.07 , 39.29 , 79.40 
