fname,lname,school,debut_x,wt_x,ht(inches),b_city_x,b_state_x,g,pts,trb,ast,fgp,fg3p,ftp,efgp,per,ws,,,
Manute,Bol,University of Bridgeport,1985,200lb,91,Gogrial,South Sudan,624,2.6,4.2,0.3,40.7,21,56.1,42,9.4,12.3,,,
Shawn,Bradley,BYU,1993,235lb,90,Landstuhl,Germany,832,8.1,6.3,0.7,45.7,10.3,71.6,45.7,16,40.7,,,
Sim,Bhullar,New Mexico State,2015,360lb,89,Ontario,Canada,3,0.7,0.3,0.3,50,-,-,50,44.3,0,,,
Chuck,Nevitt,NC State,1983,217lb,89,Cortez,Colorado,155,1.6,1.5,0.1,43.8,-,58.9,43.8,9.1,0.5,,,
Mark,Eaton,UCLA,1982,275lb,88,Westmster,California,875,6,7.9,1,45.8,0,64.9,45.8,10.9,44.8,,,
Priest,Lauderdale,Central State University,1996,325lb,88,Chicago,Illinois,74,3.4,1.9,0.4,47.2,0,55.4,47.2,11.3,-0.8,,,
Ralph,Sampson,Virginia,1983,228lb,88,Harrisonburg,Virginia,456,15.4,8.8,2.3,48.6,17.2,66.1,48.7,16,20.1,,,
Rik,Smits,Marist College,1988,250lb,88,Edhoven,Netherlands,867,14.8,6.1,1.4,50.7,11.5,77.3,50.7,17.9,56.6,,,
Randy,Breuer,Minnesota,1983,230lb,87,Lake City,Minnesota,681,6.8,4.4,0.9,46.7,0,62.8,46.7,13.2,20.9,,,
Keith,Closs,Central Connecticut State University,1997,212lb,87,Hartford,Connecticut,130,3.9,2.9,0.3,47.1,0,60.6,47.1,14.2,1.9,,,
Aleksandar,Radojevic,Barton County Community College,1999,250lb,87,Herceg Novi,Montenegro,15,1.7,2.4,0.5,30.8,-,62.5,30.8,-0.9,-0.4,,,
Hasheem,Thabeet,UConn,2009,263lb,87,Dar es Salaam,United Republic of Tanzania,224,2.2,2.7,0.1,56.7,-,57.8,56.7,10.3,4.8,,,
Kareem,Abdul-Jabbar,UCLA,1969,225lb,86,New York,New York,1560,24.6,11.2,3.6,55.9,5.6,72.1,55.9,24.6,273.4,,,
Tom,Burleson,NC State,1974,225lb,86,Crossnore,North Carolina,446,9.4,6.3,1.3,44.5,0,72.6,44.5,16.1,22.9,,,
James,Donaldson,Washington State,1980,275lb,86,Heacham,United Kingdom,957,8.6,7.8,0.8,57.1,-,73.2,57.1,13.8,62.3,,,
Ralph,Drollinger,UCLA,1980,250lb,86,La Mesa,California,6,2.5,3.2,2.3,50,-,25,50,5.3,-0.2,,,
Artis,Gilmore,Jacksonville University,1971,240lb,86,Chipley,Florida,1329,18.8,12.3,2.3,58.2,15,69.8,58.2,21.4,189.7,,,
Petur,Gudmundsson,Washington,1981,260lb,86,Reykjavik,Iceland,150,4.6,3.8,1,49.4,50,75.4,49.5,10.6,2.1,,,
Thomas,Hamilton,Pitt,1996,330lb,86,Chicago,Illinois,33,3.2,3.4,0.5,40,-,46.3,40,9.9,-0.3,,,
Roy,Hibbert,Georgetown,2008,270lb,86,Queens,New York,662,10,6.3,1.3,46.5,25,75.5,46.5,15.5,35.9,,,
Garth,Joseph,College of Saint Rose,2000,315lb,86,Roseau,Dominica,4,0.5,0.5,0.3,20,-,0,20,-5,-0.1,,,
Rich,King,Nebraska,1991,260lb,86,Lcoln,Nebraska,72,1.9,1,0.3,39.3,0,66.2,39.3,10.2,0.2,,,
Luc,Longley,New Mexico,1991,265lb,86,Melbourne,Australia,567,7.2,4.9,1.5,46.2,0,76,46.2,11.8,17.5,,,
Dikembe,Mutombo,Georgetown,1991,245lb,86,Kshasa,Democratic Republic of the Congo,1196,9.8,10.3,1,51.8,0,68.4,51.8,17.2,117,,,
Martin,Nessley,Duke,1987,260lb,86,Columbus,Ohio,44,1.1,1.9,0.4,38.5,-,44.4,38.5,2.8,-0.1,,,
Alan,Ogg,University of Alabama at Birmingham,1991,240lb,86,Lancaster,Ohio,80,2.2,1.7,0.2,49.3,0,56.8,49.3,9.1,0.8,,,
Greg,Ostertag,Kansas,1995,280lb,86,Dallas,Texas,756,4.6,5.5,0.6,48.6,10,56.9,48.6,13.1,33.8,,,
Luther,Wright,Seton Hall,1993,270lb,86,Jersey City,New Jersey,15,1.3,0.7,0,34.8,0,75,34.8,-0.4,-0.1,,,
Solomon,Alabi,Florida State,2010,251lb,85,Kaduna,Nigeria,26,1.5,2.3,0.2,31.4,-,70,31.4,10.3,0,,,
Uwe,Blab,Indiana,1985,252lb,85,Munich,Germany,235,2.1,1.8,0.4,43.3,-,60.8,43.3,6.6,0.4,,,
Sam,Bowie,Kentucky,1984,235lb,85,Lebanon,Pennsylvania,511,10.9,7.5,2.1,45.2,30.2,74.8,45.6,14.6,26.9,,,
Bill,Cartwright,San Francisco,1979,245lb,85,Lodi,California,963,13.2,6.3,1.4,52.5,0,77.1,52.5,15.2,72.8,,,
Ron,Cavenall,Texas Southern,1984,230lb,85,Beaumont,Texas,58,1.4,2.9,0.3,33.7,-,54.5,33.7,4.2,-0.2,,,
Greg,Dreiling,Kansas,1986,250lb,85,Wichita,Kansas,474,2.1,2.1,0.4,46.7,33.3,64.9,46.9,7.4,4,,,
Rolando,Ferreira,Houston,1988,240lb,85,Curitiba,Brazil,12,0.8,1.1,0.1,5.6,-,87.5,5.6,-7.6,-0.2,,,
Spencer,Hawes,Washington,2007,245lb,85,Seattle,Washington,684,8.7,5.7,1.9,45.7,35,71.6,49,14,22.6,,,
Tito,Horford,Miami (FL),1988,245lb,85,La Romana,Dominican Republic,63,1.5,1.3,0.1,30,-,62.8,30,4.4,-0.5,,,
Nate,Huffman,Central Michigan University,2002,245lb,85,Battle Creek,Michigan,7,3.3,3.3,0.7,36,-,62.5,36,11.8,0.1,,,
Gary,Leonard,Missouri,1989,250lb,85,Belleville,Illinois,31,1.4,1.1,0.1,45.9,0,50,45.9,8.6,0.1,,,
Jim,McIlvaine,Marquette,1994,240lb,85,Race,Wisconsin,401,2.7,3.1,0.3,44.6,10,55.1,44.7,10,9.4,,,
Walter,Palmer,Dartmouth College,1990,215lb,85,Ithaca,New York,48,2.1,1.4,0.2,41.2,0,66.7,41.2,11,-0.1,,,
Robert,Parish,Centenary (LA),1976,230lb,85,Shreveport,Louisiana,1611,14.5,9.1,1.4,53.7,0,72.1,53.7,19.2,147,,,
Tom,Piotrowski,La Salle,1983,240lb,85,West Chester,Pennsylvania,18,1.7,0.9,0.3,46.2,-,100,46.2,9.2,0.1,,,
Joel,Przybilla,Minnesota,2000,255lb,85,Monticello,Minnesota,592,3.9,6.2,0.4,55.2,0,55.7,55.2,12,23,,,
David,Robinson,United States Naval Academy,1989,235lb,85,Key West,Florida,987,21.1,10.6,2.5,51.8,25,73.6,51.9,26.2,178.7,,,
Tree,Rollins,Clemson,1977,235lb,85,Wter Haven,Florida,1156,5.4,5.8,0.6,52.2,0,70,52.2,13.6,63.9,,,
Daniel,Santiago,Saint Vincent College,2000,256lb,85,Lubbock,Texas,122,3.4,2.1,0.3,46.9,-,68.5,46.9,9.3,1.9,,,
Luke,Schenscher,Georgia Tech,2006,255lb,85,Hope Forest,Australia,31,1.8,1.7,0.3,46.9,-,45,46.9,6.9,0.3,,,
Dwayne,Schintzius,Florida,1990,260lb,85,Brandon,Florida,217,2.7,2.5,0.4,40.4,12.5,63.8,40.5,9.4,1,,,
Roland,Taylor,USC,1969,265lb,85,Torrance,California,77,4.8,3.8,0.9,46.6,-,55.3,46.6,9.1,1.5,,,
Nick,Vanos,Santa Clara,1986,255lb,85,San Mateo,California,68,3.3,3.5,0.9,38.3,0,56.1,38.3,7.7,-0.1,,,
Martell,Webster,Morgan State University,1976,225lb,85,Baltimore,Maryland,617,7,6.8,1.2,48.8,28.6,62.1,48.8,13.8,29.4,,,
Marvin,Webster,Morgan State University,1976,225lb,85,Baltimore,Maryland,617,7,6.8,1.2,48.8,28.6,62.1,48.8,13.8,29.4,,,
