fname,lname,school,debut_x,wt_x,ht(inches),b_city_x,b_state_x,g,pts,trb,ast,fgp,fg3p,ftp,efgp,per,ws
Reggie,Harding,,1968,249,84,Detroit,Michigan,230,9.5,9.6,1.7,41.9,0,60.2,41.9,12.9,7.3
Pete,Maravich,,1970,197,77,Aliquippa,Pennsylvania,658,24.2,4.2,5.4,44.1,66.7,82,44.1,18.4,46.7
Moses,Malone,,1974,215,82,Petersburg,Virginia,1455,20.3,12.3,1.3,49.5,9.6,76,49.5,22,179.1
Bill,Willoughby,,1975,205,80,Englewood,New Jersey,488,6,3.9,0.8,47,27,75,47.2,11.8,13.3
Darryl,Dawkins,,1975,251,83,Orlando,Florida,726,12,6.1,1.3,57.2,13.3,68.5,57.2,15.8,46.4
Georgi,Glouchkov,,1985,235,80,Triavna,Bulgaria,49,4.9,3.3,0.7,40.2,100,57.4,40.4,5.7,-0.5
Fernando,Martin,,1986,220,81,Madrid,Spain,24,0.9,1.2,0.4,29,0,36.4,29,-0.9,-0.4
Tim,Hardaway Jr.,,1989,175,72,Chicago,Illinois,867,17.7,3.3,8.2,43.1,35.5,78.2,49,18.6,85
Drazen,Petrovic,,1989,195,77,Sibenik,Croatia,290,15.4,2.3,2.4,50.6,43.7,84.1,54.4,16.4,21.5
Sarunas,Marciulionis,,1989,200,77,Kaunas,Lithuania,363,12.8,2.3,2.2,50.5,36.9,76.8,52.6,16.7,20
Zarko,Paspalj,,1989,215,81,Pljevlja,Montenegro,28,2.6,1.1,0.4,34.2,0,81.8,34.2,4.3,-0.3
Alexander,Volkov,,1989,218,82,Omsk,Russia,149,6.8,2.6,2.2,45.5,33.3,61.3,48.3,14.1,4.5
Vlade,Divac,,1989,243,85,Prijepolje,Serbia,1134,11.8,8.2,3.1,49.5,23.5,69.2,50,17.7,96.4
Stojko,Vrankovic,,1990,260,86,Drnis,Croatia,170,2.8,3,0.3,47.7,-,59.8,47.7,9.7,1.3
Joao,Vianna,,1991,215,81,Brasilia,Brazil,1,2,0,2,50,-,-,50,1,0
Gundars,Vetra,,1992,195,78,Ventspils,Latvia,13,3.5,0.6,0.5,47.5,100,66.7,51.3,13.6,0.1
Radisav,Curcic,,1992,275,82,Cacak,Serbia,20,2.9,2.5,0.6,39,-,72.2,39,13.5,0.3
Toni,Kukoc,,1993,192,82,Split,Croatia,846,11.6,4.2,3.7,44.7,33.5,72.9,49.2,17.3,59.6
Dino,Radja,,1993,225,83,Split,Croatia,224,16.7,8.4,1.6,49.7,0,73.5,49.7,17.4,14.3
Gheorghe,Muresan,,1993,303,91,Triteni,Romania,307,9.8,6.4,0.5,57.3,0,64.4,57.3,18.1,19
Sergei,Bazarevich,,1994,168,74,Moscow,Russia,10,3,0.7,1.4,50,16.7,77.8,52.3,13.6,0.2
Glenn,Robinson,,1994,225,79,Gary,Indiana,688,20.7,6.1,2.7,45.9,34,82,48.5,17.5,39.8
Andres,Guibert,,1994,225,82,Havana,Cuba,22,2.7,2.8,0.5,32.8,0,64,32.8,7.9,-0.2
Zan,Tabak,,1994,245,84,Split,Croatia,247,5,3.6,0.7,50.6,0,52.5,50.6,11.3,2.4
Vincenzo,Esposito,,1995,198,75,Caserta,Italy,30,3.9,0.5,0.8,36,23.2,79.5,42.5,5.2,-0.6
Sasha,Danilovic,,1995,200,77,Sarajevo,Bosnia and Herzegovina,75,12.8,2.4,2,43.9,37.9,78.9,51.8,11.7,4.2
Stefano,Rusconi,,1995,240,81,Bassano del Grappa,Italy,7,1.1,0.9,0.4,33.3,-,40,33.3,2.4,-0.1
Kevin,Garnett,,1995,240,83,Mauld,South Carolina,1462,17.8,10,3.7,49.7,27.5,78.9,50.1,22.7,191.4
Rastko,Cvetkovic,,1995,260,85,Belgrade,Serbia,14,0.7,0.8,0.2,31.3,0,0,31.3,2.1,-0.1
Arvydas,Sabonis,,1995,279,87,Kaunas,Lithuania,470,12,7.3,2.1,50,32.8,78.6,51.7,21.2,47.3
Shane,Heal,,1996,180,72,Melbourne,Australia,49,2,0.4,0.8,27.3,28.9,70,37.2,5,-0.4
Aleksandar,Djordjevic,,1996,198,74,Belgrade,Serbia,8,3.1,0.6,0.6,50,71.4,80,65.6,12.5,0.1
Kobe,Bryant,,1996,212,78,Philadelphia,Pennsylvania,1346,25,5.2,4.7,44.7,32.9,83.7,48.2,22.9,172.7
Martin,Muursepp,,1996,235,81,Talln,Estonia,83,4.7,2.2,0.6,42.5,32.3,69.3,45.7,14.9,2
Mark,Bradtke,,1996,265,82,Adelaide,Australia,36,1.6,1.9,0.2,43.1,-,69.2,43.1,9.6,0.2
Tracy,McGrady,,1997,210,80,Bartow,Florida,938,19.6,5.6,4.4,43.5,33.8,74.6,47,22.1,97.3
Marko,Milic,,1997,235,78,Kranj,Slovenia,44,2.5,0.7,0.3,56,42.9,64.7,57.7,14.9,0.2
Zydrunas,Ilgauskas,,1997,238,87,Kaunas,Lithuania,843,13,7.3,1.1,47.6,31,78,47.8,18.5,66.3
Chris,Anstey,,1997,249,84,Melbourne,Australia,155,5.2,3.4,0.8,41.3,13.8,75.5,41.6,13.2,2.8
Jonathan,Bender,,1999,202,83,Picayune,Mississippi,262,5.5,2.2,0.6,41.7,34,76.3,45.8,10.9,3.8
Korleone,Young,,1999,213,79,Wichita,Kansas,3,4.3,1.3,0.3,50,25,100,55,31.3,0.1
Lazaro,Borrell,,1999,220,80,Santa Clara,Cuba,17,3.6,2.4,0.6,44.4,0,54.5,44.4,15,0.3
Bruno,Sundov,,1999,220,86,Split,Croatia,102,1.7,1,0.2,35.6,20.8,52.6,36.7,5.4,-0.7
Peja,Stojakovic,,1999,229,82,Slavoska Pozega,Croatia,804,17,4.7,1.8,45,40.1,89.5,53.2,17.1,82.6
Al,Harrington,,1999,230,81,Orange,New Jersey,981,13.5,5.6,1.7,44.4,35.2,72.7,48.7,14.3,42.5
Kornel,David,,1999,235,81,"<a href=""/friv/birthplaces.fcgi?country=HU&amp;state=""",Hungary,109,5,2.8,0.6,44.6,0,81.7,44.6,12.5,2.5
Mirsad,Turkcan,,1999,236,81,Novi Pazar,Serbia,17,1.9,1.9,0.3,36.8,0,62.5,36.8,11.1,0
Vladimir,Stepania,,1999,236,84,"<a href=""/friv/birthplaces.fcgi?country=GE&amp;state=""",Georgia,270,4.1,4.4,0.3,42.5,13.3,53.6,42.6,12.8,5.2
Dirk,Nowitzki,,1999,245,84,Wurzburg,Germany,1522,20.7,7.5,2.4,47.1,38,87.9,51.2,22.4,206.3
Rasho,Nesterovic,,1999,248,84,Ljubljana,Slovenia,811,6.8,5.1,1,50.2,7.7,58.5,50.2,13.3,39.9
DeShawn,Stevenson,,2000,210,77,Fresno,California,824,7.2,2.2,1.6,40.6,34,69.8,45.6,9.9,12.1
Darius,Miles,,2000,210,81,Belleville,Illinois,446,10.1,4.9,1.9,47.2,16.8,59,47.4,13.9,9.5
Hedo,Turkoglu,,2000,220,82,Istanbul,Turkey,997,11.1,4,2.8,42.6,38.4,78.4,49.5,14.3,63.3
Soumaila,Samake,,2000,230,84,Bougouni,Mali,47,1.4,1.6,0.1,38.9,-,46.2,38.9,10,0.3
Olumide,Oyedeji,,2000,240,82,Ibadan,Nigeria,93,1.4,2.1,0.1,49.5,-,65.9,49.5,10.5,1.2
Dalibor,Bagaric,,2000,255,85,Munich,Germany,95,2.6,2.5,0.4,36.1,0,55.9,36.1,7,-0.9
Dragan,Tarlac,,2000,260,82,Belgrade,Serbia,43,2.4,2.8,0.7,39.4,-,75.8,39.4,5.6,-0.2
Ruben,Wolkowyski,,2000,270,82,Buenos Aires,Argentina,41,2,1.1,0.1,32.5,0,68.4,32.5,6,-0.1
Jake,Tsakalidis,,2000,285,86,Rustavi,Georgia,315,4.8,3.9,0.3,49,0,65.7,49,11.8,9.9
Tony,Parker,,2001,185,74,Bruges,Belgium,1254,15.5,2.7,5.6,49.1,32.4,75.1,50.8,18.2,111.3
Oscar,Torres,,2001,210,78,Caracas,Venezuela,82,5.4,1.6,0.5,40.1,31.7,76.8,45.9,11.7,1.1
Antonis,Fotsis,,2001,219,82,Athens,Greece,28,3.9,2.2,0.4,40.4,30.4,85,43.8,11.3,0.1
Andrei,Kirilenko,,2001,220,81,Izhevsk,Russia,797,11.8,5.5,2.7,47.4,31,75.4,50.2,18.7,75.4
Vladimir,Radmanovic,,2001,227,82,Trebje,Bosnia and Herzegovina,737,8,3.8,1.4,41.5,37.8,75.8,50.9,12.7,26.5
Pau,Gasol,,2001,250,84,Barcelona,Spain,1226,17,9.2,3.2,50.7,36.8,75.3,51.3,21.4,144.1
Primoz,Brezec,,2001,252,86,Postojna,Slovenia,342,7.2,3.9,0.5,49.8,16.7,70.1,49.8,13.6,10.8
Zeljko,Rebraca,,2001,257,84,Apat,Serbia,215,5.9,3.2,0.4,52.7,-,79.2,52.7,14.1,8.3
Predrag,Drobnjak,,2001,270,83,Bijelo Polje,Montenegro,278,7.9,3.5,0.8,42.5,34,79.9,44,12.6,5.6
Kwame,Brown,,2001,270,83,Charleston,South Carolina,607,6.6,5.5,0.9,49.2,11.1,57,49.2,12.5,20.8
Eddy,Curry,,2001,295,84,Harvey,Illinois,527,12.9,5.2,0.5,54.5,100,64.2,54.5,15.9,21.7
DeSagana,Diop,,2001,300,84,Dakar,Senegal,601,2,3.7,0.4,42.7,16.7,46.7,42.8,9.8,12.8
Igor,Rakocevic,,2002,183,75,Belgrade,Serbia,42,1.9,0.4,0.8,37.9,41.7,80.6,42.2,8.4,0.1
Marko,Jaric,,2002,198,79,Belgrade,Serbia,447,7.1,2.7,3.6,40.4,34.4,73,45.3,12,12.1
Manu,Ginobili,,2002,205,78,Bahia Blanca,Argentina,1057,13.3,3.5,3.8,44.7,36.9,82.7,52,20.2,106.4
Jiri,Welsch,,2002,208,79,Pardubice,Czech Republic,247,6.1,2.4,1.5,40.3,34.3,75.2,44.9,11.2,5.7
Gordan,Giricek,,2002,210,78,Zagreb,Croatia,384,9.6,2.5,1.5,44.2,36.8,82.3,48.6,11.8,8
Bostjan,Nachbar,,2002,221,81,Slovenj Gradec,Slovenia,317,7.1,2.6,0.9,40.6,37.5,78.4,49.4,11.5,8.7
Nikoloz,Tskitishvili,,2002,225,84,Tbilisi,Georgia,172,2.9,1.8,0.7,30.4,23.5,73,33.8,5.2,-1.6
Leon,Smith,,2002,235,82,Chicago,Illinois,15,2.2,2.2,0.2,39.3,-,64.7,39.3,14.3,0.2
Cezary,Trybanski,,2002,240,86,Warsaw,Poland,22,0.7,0.7,0,20.8,-,41.7,20.8,-3,-0.5
Amar'e,Stoudemire,,2002,245,82,Lake Wales,Florida,846,18.9,7.8,1.2,53.7,23.6,76.1,53.8,21.8,92.5
Mehmet,Okur,,2002,249,83,Yalova,Turkey,634,13.5,7,1.7,45.8,37.5,79.7,50.3,17.1,54.7
Efthimios,Rentzias,,2002,250,83,Trikala,Greece,35,1.5,0.7,0.2,33.9,50,88.9,37.3,10.6,0.2
Ratko,Varda,,2002,260,85,Bosanska Gradiska,Bosnia and Herzegovina,1,5,1,0,66.7,-,100,66.7,15,0
Mengke,Bateer,,2002,290,83,Beijg,China,46,3.4,2.5,0.6,39.1,33.3,74.4,40.7,6.4,-0.1
Raul,Lopez,,2003,170,73,Vic,Spain,113,6.5,1.7,3.8,42.9,34.6,85.3,46.4,12.2,2.1
Leandro,Barbosa,,2003,194,75,Sao Paulo,Brazil,850,10.6,2,2.1,45.9,38.7,82.1,52.6,15.1,37.4
Zoran,Planinic,,2003,195,79,Mostar,Bosnia and Herzegovina,148,3.8,1.3,1.1,40.5,28.9,67.7,44.3,9.6,1.5
Ndudi,Ebi,,2003,200,81,London,United Kingdom,19,2.1,1,0.2,48.6,0,46.2,48.6,14.6,0.1
Antoine,Rigaudeau,,2003,210,79,Cholet,France,11,1.5,0.7,0.5,22.9,20,-,24.3,-2.4,-0.4
Travis,Outlaw,,2003,210,81,Starkville,Mississippi,622,8.5,3.2,0.8,42.3,33.7,74.4,46,13.1,16.5
Mickael,Pietrus,,2003,215,78,Les Abymes,Guadeloupe,557,8.3,3.1,0.8,42.5,35.5,66.5,51.4,11.6,19.7
Zarko,Cabarkapa,,2003,235,83,Zrenjan,Serbia,150,4.3,2.1,0.6,42.7,27.3,73.3,44.9,11.5,1.1
Boris,Diaw,,2003,250,80,Cormeilles-en-Parisis,France,1064,8.6,4.4,3.5,49.3,33.6,71.7,52.4,12.9,51.6
Darko,Milicic,,2003,250,84,Novi Sad,Serbia,468,6,4.2,0.9,46,0,57.4,46,12.3,7.1
Kendrick,Perkins,,2003,270,82,Nederland,Texas,782,5.4,5.8,1,53,0,59.4,53,10.7,27.9
Zaza,Pachulia,,2003,270,83,Tbilisi,Georgia,1098,6.8,5.8,1.3,46.9,0,75.1,46.9,14.6,52.7
Sebastian,Telfair,,2004,165,72,Brooklyn,New York,564,7.4,1.6,3.5,39,31.9,77.7,43.6,10.8,5
Shaun,Livingston,,2004,192,79,Peoria,Illinois,833,6.3,2.4,3,48.6,17.8,79.4,48.8,12.5,29.9
Sasha,Vujacic,,2004,195,79,Maribor,Slovenia,581,5.3,1.9,1.3,39,36.7,85.8,48.7,11.5,16
Ibrahim,Kutluay,,2004,200,78,Istanbul,Turkey,5,0,0.2,0,0,-,-,0,-12.9,-0.1
Beno,Udrih,,2004,205,75,Celje,Slovenia,831,8.4,2.1,3.4,46.3,34.9,83.3,50.2,14,31.4
Alex,Garcia,,2004,220,75,Orlandia,Brazil,10,4.7,1.5,1.8,32.2,27.8,66.7,36.4,7.4,-0.1
JR,Smith,,2004,225,78,Freehold,New Jersey,971,12.5,3.2,2.1,41.9,37.3,73.2,51.1,14,46.4
Andres,Nocioni,,2004,225,79,Santa Fe,Argentina,514,10.5,4.5,1.2,43.1,37.3,79.9,49.7,12.9,21.8
Carlos,Delfino,,2004,230,78,Santa Fe,Argentina,507,8.1,3.6,1.7,40.1,36.5,75.8,49.4,12.6,22.5
Andris,Biedrins,,2004,240,83,Riga,Latvia,516,6.3,7,0.9,59.4,0,50,59.4,15.3,30.7
Nenad,Krstic,,2004,240,84,Kraljevo,Serbia,419,10,5.4,0.8,49.4,14.3,73,49.4,13.6,21.5
Robert,Swift,,2004,245,84,Bakersfield,California,97,4.3,3.9,0.2,50.6,-,61,50.6,11.4,1.7
DJ,Mbenga,,2004,245,84,Kshasa,Democratic Republic of the Congo,234,1.8,1.5,0.2,47,0,60.7,47,10.8,2.4
Mario,Kasun,,2004,260,85,Split,Croatia,73,2.7,2.6,0.2,46.7,0,63.6,46.7,10.8,0.8
Anderson,Varejao,,2004,273,82,Santa Teresa,Brazil,627,7.3,7.2,1.2,51,2.4,63.1,51.1,15.6,46.4
Maciej,Lampe,,2004,275,83,Lodz,Poland,64,3.4,2.2,0.3,40.7,25,67.6,41.1,8.5,-0.2
Peter John,Ramos,,2004,275,87,Fajardo,Puerto Rico,6,1.8,0.7,0,50,-,50,50,8.2,0
Slavko,Vranes,,2004,275,89,Belgrade,Serbia,1,0,0,0,0,-,-,0,-20.4,0
Al,Jefferson,,2004,289,82,Monticello,Mississippi,915,15.7,8.4,1.5,49.9,12.1,71.1,49.9,20.6,71
Monta,Ellis,,2005,185,75,Jackson,Mississippi,833,17.8,3.5,4.6,45.1,31.4,77.2,48,16,41.9
Boniface,Ndong,,2005,198,84,Dakar,Senegal,23,2.2,1.6,0.3,41.5,0,66.7,41.5,11,0.2
Jose,Calderon,,2005,200,75,Villanueva de la Serena,Spain,895,8.9,2.4,5.8,47.2,40.7,87.3,54.3,15.8,58.3
Yaroslav,Korolev,,2005,203,81,Moscow,Russia,34,1.1,0.5,0.4,28.3,25,62.5,31.5,5.6,-0.1
Dorell,Wright,,2005,205,81,Los Angeles,California,549,8.4,3.8,1.5,42.4,36.5,80.6,50.3,14.4,25.9
Viktor,Khryapa,,2005,210,81,Kiev,Ukraine,143,4.5,3.4,1,44.3,29.2,65.8,45.5,10.7,2
Arvydas,Macijauskas,,2005,214,76,Klaipeda,Lithuania,19,2.3,0.5,0.3,34.1,25,86.7,37.8,8.3,0
Sergei,Monia,,2005,220,80,Saratov,Russia,26,3,2,0.7,33.3,26.5,71.4,38.5,6.3,-0.2
Andray,Blatche,,2005,235,83,Syracuse,New York,564,10.1,5.4,1.4,46.7,23.7,72.5,47.2,16.8,19.2
