,fname,lname,g,pts,trb,ast,fgp,fg3p,ftp,efgp,per,ws
1,Alaa,Abdelnaby,256,5.7,3.3,0.3,50.2,0.0,70.1,50.2,13.0,4.8
2,Kareem,Abdul-Jabbar,1560,24.6,11.2,3.6,55.9,5.6,72.1,55.9,24.6,273.4
3,Tariq,Abdul-Wahad,236,7.8,3.3,1.1,41.7,23.7,70.3,42.2,11.4,3.5
4,Shareef,Abdur-Rahim,830,18.1,7.5,2.5,47.2,29.7,81.0,47.9,19.0,71.2
5,Tom,Abernethy,319,5.6,3.2,1.2,49.2,0.0,74.7,49.2,12.9,13.4
6,Alex,Abrines,174,5.3,1.4,0.5,38.7,36.8,88.0,52.5,8.8,5.0
7,Alex,Acker,30,2.7,1.0,0.5,37.0,32.0,50.0,41.3,8.5,-0.2
8,Mark,Acres,375,3.6,4.1,0.5,50.6,53.8,66.5,50.9,9.0,9.3
9,Quincy,Acy,337,4.9,3.5,0.6,44.4,35.0,75.9,51.3,11.2,8.7
10,Alvan,Adams,988,14.1,7.0,4.1,49.8,13.3,78.8,49.8,18.3,73.5
11,Don,Adams,523,8.8,5.6,1.9,40.2,0.0,74.1,40.2,10.7,11.7
12,Hassan,Adams,73,2.5,1.2,0.2,53.4,0.0,64.3,53.4,11.8,0.8
13,Jaylen,Adams,34,3.2,1.8,1.9,34.5,33.8,77.8,45.9,7.6,0.1
14,Jordan,Adams,32,3.2,0.9,0.6,40.2,38.5,60.7,45.7,13.1,0.4
15,Michael,Adams,653,14.7,2.9,6.4,41.5,33.2,84.9,47.5,16.6,46.9
16,Rafael,Addison,379,5.8,2.1,0.9,44.9,28.2,77.2,46.6,10.5,4.9
17,Deng,Adel,19,1.7,1.0,0.3,30.6,26.1,100.0,38.9,2.7,-0.2
18,Jeff,Adrien,153,4.6,4.3,0.7,47.4,0.0,62.8,47.4,15.0,4.4
19,Arron,Afflalo,762,10.8,2.9,1.8,45.0,38.6,82.5,51.4,11.9,33.5
20,Maurice,Ager,82,2.1,0.6,0.2,33.9,25.0,56.6,36.8,2.8,-0.9
21,Mark,Aguirre,923,20.0,5.0,3.1,48.4,31.2,74.1,49.8,19.0,67.8
22,Blake,Ahearn,19,4.6,1.2,1.2,27.3,29.8,97.0,36.4,7.2,-0.2
23,Danny,Ainge,1042,11.5,2.7,4.0,46.9,37.8,84.6,51.9,14.7,71.5
24,Alexis,Ajinca,293,5.3,3.9,0.5,50.3,28.6,79.7,50.7,14.9,7.5
25,Henry,Akin,88,3.5,2.1,0.5,35.0,0.0,67.6,35.0,7.4,-1.2
26,Josh,Akognon,3,1.7,0.3,0.3,50.0,50.0,-,62.5,15.3,0.0
27,DeVaughn,Akoon-Purcell,7,1.0,0.6,0.9,30.0,0.0,50.0,30.0,8.2,0.0
28,Solomon,Alabi,26,1.5,2.3,0.2,31.4,-,70.0,31.4,10.3,0.0
29,Mark,Alarie,325,7.5,3.4,1.1,47.5,25.2,77.5,48.3,13.0,8.4
30,Furkan,Aldemir,41,2.3,4.3,0.7,51.3,0.0,48.1,51.3,12.0,1.4
31,Cole,Aldrich,339,3.1,3.3,0.5,52.7,-,73.8,52.7,16.6,9.6
32,Chuck,Aleksinas,74,5.1,3.6,0.5,47.8,0.0,73.3,47.8,9.1,0.4
33,Cliff,Alexander,8,1.3,0.8,0.0,50.0,-,-,50.0,11.6,0.0
34,Cory,Alexander,307,5.5,1.6,2.7,38.9,35.4,75.6,46.8,12.4,3.0
35,Courtney,Alexander,307,5.5,1.6,2.7,38.9,35.4,75.6,46.8,12.4,3.0
36,Gary,Alexander,11,1.7,1.4,0.2,57.1,-,33.3,57.1,8.6,0.0
37,Joe,Alexander,67,4.2,1.8,0.7,41.0,34.0,69.8,44.2,9.9,0.5
38,Victor,Alexander,286,8.9,4.8,0.9,51.8,28.6,63.4,52.2,13.7,8.8
39,Steve,Alford,169,4.4,0.9,1.0,45.9,32.4,87.0,48.7,14.4,3.2
40,Rawle,Alkins,10,3.7,2.6,1.3,33.3,25.0,66.7,37.2,8.1,-0.1
41,Jerome,Allen,117,2.9,1.1,1.7,35.0,31.7,63.0,41.1,8.5,0.2
42,Lavoy,Allen,388,4.8,4.8,1.0,47.1,13.3,68.2,47.2,12.5,13.8
43,Malik,Allen,478,4.9,2.8,0.5,43.9,18.8,77.8,44.0,9.9,6.6
44,Randy,Allen,70,3.6,2.1,0.3,44.2,0.0,53.3,44.2,8.3,0.2
45,Ray,Allen,70,3.6,2.1,0.3,44.2,0.0,53.3,44.2,8.3,0.2
46,Tony,Allen,820,8.1,3.5,1.3,47.5,28.2,70.9,48.7,14.2,38.7
47,Lance,Allred,3,1.0,0.3,0.0,25.0,-,50.0,25.0,-1.0,0.0
48,Darrell,Allums,22,2.7,3.0,1.1,34.3,0.0,59.1,34.3,5.3,-0.3
49,Morris,Almond,38,3.1,1.2,0.3,38.1,29.2,74.3,41.2,7.0,0.0
50,Derrick,Alston,139,5.4,3.8,0.7,48.9,14.3,48.7,49.0,11.7,2.6
51,Rafer,Alston,671,10.1,2.8,4.8,38.3,35.4,72.9,46.1,13.2,32.9
52,Peter,Aluma,2,1.0,1.0,0.0,50.0,-,-,50.0,3.1,0.0
53,John,Amaechi,294,6.2,2.6,0.8,40.3,7.7,67.1,40.3,8.9,0.5
54,Ashraf,Amaya,85,4.5,4.2,0.4,45.5,50.0,63.3,45.7,11.5,1.9
55,Lou,Amundson,428,3.7,3.6,0.4,47.4,0.0,44.4,47.4,12.0,6.9
56,Chris,Andersen,695,5.4,5.0,0.5,53.2,22.1,65.4,53.5,16.7,39.7
57,David,Andersen,140,12.2,9.4,1.1,48.1,-,72.7,48.1,17.5,10.9
